529 Savings Plan,An education savings plan operated by a state or educational institution designed to help families set aside funds for future college costs. It is named after Section 529 of the Internal Revenue Code which created these types of savings plans in 1996.,http://www.savingforcollege.com/intro_to_529s/what-is-a-529-plan.php,Pay for College 
Application Fee,"Fee colleges charge to review studentsﾒ applications for admission. Typical fees range between $40 and $75. Depending on students household income and family size they may be eligible for fee waivers, which make them exempt from the fee requirement. ",,Apply
Associate Degree,"Certification granted by a college to a student who completes the associate degree course of study; it is also known as a ﾓtwo year degree. Often, associate degrees are focused on particular job preparation, like nursing or computer technology. Many students use associate programs as stepping stones to bachelorﾒs programs, transferring the credits to a four-year college. Associate degrees are often referred to by initials, such as AS (Associate of Science),  AAS (Associate of Applied Science), or AA (Associate of Arts).",,Succeed In College
Award Letter,"Letter sent by a college, outlining a student's financial aid award.",,Apply
Bachelor's Degree,"Certification granted by a college to a student who completes the bachelorﾒs course of study; generally known as a ﾓfour year degree. Depending on full or part-time status, however, it can sometimes take a student longer than four years to earn one. Bachelorﾒs degrees are divided into a few basic categories such as liberal arts or science, and then by major. For example, a student could earn a Bachelor of Arts in Economics or a Bachelor of Science in Biology. Bachelorﾒs degrees are sometimes referred to by initials, such as BA (Bachelor of Arts), which refers to the broad group of humanities- based subjects, or BS (Bachelor of Science). ", ,Succeed in College
Bursar,"The office in a college that handles all student billing, including tuition, fees, housing, and meal plan.",,Pay for College / Use your Summers
Career inventories,"Survey designed to help you discover what jobs you would find most interesting, and suggest   career options that you will enjoy and do well. ",,
Career Services,"An on-campus career development service that helps students, alumni, faculty and staff prepare for successful careers, and connects employers with students and alumni.",uvic.ca/coopandcareer/home/home/whatiscareer/,Use your Summers 
Certificate Programs,Programs offered by colleges (usually community colleges) for short-term job training; they do not grant college credits or build toward a college degree.,,Explore
College Catalog,"Official book or online publication of a college that contains information about academic programs and courses, dorms, rules and regulations, faculty and staff contact information, holidays, scholarships, and more. It is a useful research tool to learn more about a college.",,Explore
Concentration,"A specific subject or field within a major, i.e. international business ",,Succeed In College
Co-op,Usually a paid work experience that lasts several semesters and may also carry college credits.,,Explore
Core Requirements,"The set of common courses required of all undergraduates and considered the necessary general education for students, irrespective of their choice in major.",http://www.college.columbia.edu/core/,Succeed In College
Cost of Attendance (COA),"The total cost of attending college for one year, including tuition, room and board, fees, books, travel, and personal expenses. Each college must calculate a COA for each student. Students are allowed to receive a total combination of financial aid sources up to the amount of their COA. (CPH)",,Pay for College 
College Scholarship Service Profile (CSS) PROFILE,A type of financial aid application required at some schools,,Pay for College 
CUNY Assessment Test (CAT),"The CUNY Skills Assessment Program consists of tests in three important areas: reading, writing, and mathematics. Results of these tests are used in determining students' readiness for college-level work, and also for course placement purposes. Students can demonstrate readiness for college-level work by meeting specific SAT, NYS Regents, and other testing criteria. Students who do not meet these criteria may take the appropriate CUNY Assessment Test offered at each CUNY college campus. They may not be able to enter a senior college until they have passed all three basic skills tests.",Lehman.edu,Succeed In College / 
Default,"The negative status you receive if you are delinquent on your loan repayment. Default is usually conferred after four to six months of not making payments. There are serious consequences if you default. Possibilities include garnishing of your wages (money is taken directly from your paycheck); negative credit rating, which can make it difficult to buy a house or car; inability to receive financial aid in the future; and inability to get government jobs. It is always better to negotiate with your loan-holder and to defer or reduce your payment amount if you are experiencing financial hardship. To negotiate deferrals, call the loan-holderﾒs number on your payment invoice and they will transfer you to the correct department.",,Pay for College 
Deposit,"Payment that you must submit to a college in order to hold your place as a student and/or for housing once you have been accepted. Deposits are usually non-refundable, but will be subtracted from your bill when you enroll.",,Pay for College 
Developmental Education/ Remediation,Classes that bring underprepared students to the level of skill expected of new college students.,,Use your Summers 
Doctoral Degree,"The most advanced academic degree you can earn for graduate study, typically completed after a bachelorﾒs and masterﾒs degree.",,Succeed in College
Dropping,,,
Early Action,"Admissions process offered at some colleges that allows students to apply by an early deadline (usually in October or November); the college will notify the student much earlier if they are accepted (usually in December). The advantage is that students know, early in the process, that they are accepted to their top-choice college.",,Explore / Apply
Early Decision,"Admissions process offered at some schools that allows students to apply by an early deadline (usually in October or November). The college will notify the student much earlier than in the regular application timeline if they are accepted (usually in December). However, if accepted via Early Decision, students must withdraw all applications from other colleges. The program is a binding agreement between the college and a student that, if accepted, a student will attend that college. The advantage is that students know they are accepted to their top-choice college, and they donﾒt need to deal with many applications, but Early Decision also limits their options dramatically.",,Explore / Apply
Expected Family Contribution (EFC),This is the amount your family is expected to contribute to your college education.,,Pay for College 
Externship,A required period of supervised practice done off campus or away from oneﾒs college,,Use your Summers / Succeed In College
Free Application for Federal Student Aid (FAFSA),"An acronym for Free Application for Federal Student Aid: a form, available online, that students must complete before each year of college to be considered for almost any kind of financial aid. For more information, visit the FAFSA Web site:(<a href=”http://www.fafsa.ed.gov”>www.fafsa.ed.gov</a>).",,Use your Summers / Pay for College
Fee Waiver,"An exemption from having to pay a fee, granted on the basis of household income and size. Separate fee waivers are available for several college application related fees, such as the college application fee itself, SAT registration, ACT registration, and CSS PROFILE. You may need to show proof of income in order to qualify for a fee waiver.",,Apply 
Full-Time Enrollment,Student who is enrolled in 12 credit hours or more. Full-time status may be required for some types of financial aid and/or for insurance purposes.,new.ipfw.edu/offices/family-outreach/terms.html,Succeed in College
Grade Point Average (GPA),"A calculation of your average grades. Usually an A=4.0, a B=3.0, a C=2.0, and a D=1.0.",,Apply
Graduation Application,"In order for your degree/certificate to be awarded, your college may require you to apply for graduation. Before you complete the  application,  make sure you have met all requirements for graduation through courses completed or in progress. If there are any discrepancies, contact your campus  your academic advisor. ",,Succeed in College
Immersion Program,A program that integrates lecture based instruction with experiential and applied activities.,,Succeed In College
Immunization Records,Documents describing your most recent state of immunity against various diseases and illness.,,Use your Summers 
Individualized Education Program (IEP),"The guiding document for a student's educational program. It includes all of the goals, objectives, present levels of performance and related services that are recommended for the student. ",http://schools.nyc.gov/Offices/District75/Departments/IEP/default.htm,Use your Summers 
Internship,Paid or unpaid work experience for which you may earn college credits.,,Succeed in College/ Explore / Use your Summers 
Major ,"Academic subject area in which students concentrate their study. At most colleges, students identify a major within their first two years of study. Certain programs at certain colleges may require prospective students to apply directly for a specific major as part of the application process to the school.", ,Succeed in College / Explore 
Major Requirements,The specified course requirements necessary for obtaining a degree in a given major. Check the departmental course requirements.,www.advising.vt.edu/AtoZindex/aag,Succeed in College
Master Promissory Note (MPN),Legal document students are required to sign before receiving their first student loan. The MPN outlines their legal obligations regarding the loan. Many colleges set up the MPN as an online document that they sign using a password or PIN.,,Pay for College 
Master's Degree,"An advanced degree, typically two years beyond a bachelorﾒs degree.", ,Succeed in College
Matriculate,To enroll in a college or university as a candidate for a degree.,Dictionary.com,Succeed in College
Minor,"Academic subject area in which a student concentrates, though with fewer credits than a major.",,Succeed in College / Explore 
Non-Credit,Carrying or conferring no official academic credit in a particular program or toward a particular degree or diploma.,,Use your Summers 
Official High School Transcript,"Transcript that is sent directly from the high school to the college. To indicate the transcript has not been altered it is sometimes stamped or sealed with a faculty or staff personﾒs signature across the closed envelope flap. Colleges generally require students to submit an official transcript, as opposed to a studentﾒs copy of the transcript, to ensure the documentﾒs authenticity.",,Apply
Open Admission,Admissions policy at some colleges (usually community colleges) stating that all students who have a high school diploma or GED can enroll.,,Apply
Orientation,"A, usually one to three day, session held on campus, before a student's first semester, to help students learn more about campus, meet others, and register for classes.",,Use your Summers 
Part-Time enrollment," A student enrolled in a number of course credits that is less than full time. Usually, this is less than 12 credits a semester.",www.choosenursing.com/glossary/index.html,Succeed in College
Pell Grant,"Named after the late Senator Pell, this grant is awarded by the federal government to an undergraduate student to help pay college costs. Eligibility is based on the studentﾒs family financial situation.",,Pay for College 
Perkins Loan,"Low-interest, long-term, subsidized loan made through school financial aid offices to help qualifying students pay for college.",,Pay for College 
PLUS Loan,Parent Loans for Undergraduate Students: Loans that parents take for their childﾒs education. They are fixed-rate and are based on credit rating.,,Pay for College
